Custom table,Dataflow,Dataflow name,Timespan,Last update of data,Downloaded at,Source,Source URL,Download URL,About Consolidated banking statistics
,"BIS,WS_CBS_PUB,1.0",Consolidated banking,2020-03-31 - 2020-12-31,2026-03-16,2026-03-19 14:00 CET,BIS,https://data.bis.org/topics/CBS/data?data_view=table&rows=L_REP_CTY%7CL_CP_COUNTRY&cols=TIME_PERIOD&filter=L_REP_CTY_TXT%3DAustralia%257CAustria%257CBelgium%257CCanada%257CChile%257CFinland%257CFrance%257CGermany%257CGreece%257CIndia%257CIreland%257CItaly%257CJapan%257CNetherlands%257CPortugal%257CSweden%257CSwitzerland%257CT%25C3%25BCrkiye%257CUnited%2520Kingdom%257CUnited%2520States%257CSpain%255EL_CP_COUNTRY_TXT%3DAustralia%257CAustria%257CBelgium%257CCanada%257CChile%257CFinland%257CFrance%257CGermany%257CGreece%257CIndia%257CIreland%257CItaly%257CJapan%257CKorea%257CNetherlands%257CPortugal%257CSpain%257CSweden%257CSwitzerland%257CT%25C3%25BCrkiye%257CUnited%2520Kingdom%257CUnited%2520States%255EL_POSITION%3DC%255ECURR_TYPE_BOOK%3DTO1%255EL_INSTR%3DA%255EL_CP_SECTOR%3DA%255EREM_MATURITY%3DA%255EL_MEASURE%3DS%255ECBS_BASIS%3DU%255ECBS_BANK_TYPE%3D4B%255ETIMESPAN%3D2020-01-01_2020-12-31,https://data.bis.org/topics/CBS/data?data_view=table&rows=L_REP_CTY%7CL_CP_COUNTRY&cols=TIME_PERIOD&filter=L_REP_CTY_TXT%3DAustralia%257CAustria%257CBelgium%257CCanada%257CChile%257CFinland%257CFrance%257CGermany%257CGreece%257CIndia%257CIreland%257CItaly%257CJapan%257CNetherlands%257CPortugal%257CSweden%257CSwitzerland%257CT%25C3%25BCrkiye%257CUnited%2520Kingdom%257CUnited%2520States%257CSpain%255EL_CP_COUNTRY_TXT%3DAustralia%257CAustria%257CBelgium%257CCanada%257CChile%257CFinland%257CFrance%257CGermany%257CGreece%257CIndia%257CIreland%257CItaly%257CJapan%257CKorea%257CNetherlands%257CPortugal%257CSpain%257CSweden%257CSwitzerland%257CT%25C3%25BCrkiye%257CUnited%2520Kingdom%257CUnited%2520States%255EL_POSITION%3DC%255ECURR_TYPE_BOOK%3DTO1%255EL_INSTR%3DA%255EL_CP_SECTOR%3DA%255EREM_MATURITY%3DA%255EL_MEASURE%3DS%255ECBS_BASIS%3DU%255ECBS_BANK_TYPE%3D4B%255ETIMESPAN%3D2020-01-01_2020-12-31&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/CBS

Reporting country,Counterparty country,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Greece,Greece,268656.0,244389.0,236666.0,221283.0
Greece,India,5.0,5.0,5.0,5.0
Greece,Ireland,4671.0,4532.0,1657.0,1573.0
Greece,Italy,7295.0,6805.0,6681.0,3653.0
Greece,Japan,25.0,30.0,36.0,30.0
Greece,Korea,9.0,8.0,8.0,5.0
Greece,Netherlands,509.0,457.0,400.0,343.0
Greece,Portugal,517.0,494.0,444.0,285.0
Greece,Spain,3019.0,2683.0,2485.0,2267.0
Greece,Sweden,119.0,128.0,110.0,93.0
Greece,Switzerland,200.0,407.0,329.0,140.0
Greece,Türkiye,3.0,5.0,5.0,13.0
Greece,United Kingdom,8416.0,8330.0,8315.0,8651.0
Greece,United States,1509.0,1261.0,1269.0,1323.0
India,Australia,1400.751,1153.891,351.771,255.939
India,Austria,,,,
India,Belgium,1415.523,657.304,673.179,917.12
India,Canada,5580.489,5309.616,5235.439,5196.612
India,Chile,,,,
India,Finland,,,,
India,France,55.495,54.302,56.177,99.18
India,Germany,1164.904,1157.143,687.042,544.528
India,Greece,,,,
India,India,2458952.845,2381506.388,2292634.3,2235428.021
India,Ireland,,,,
India,Italy,81.443,78.475,100.879,86.612
India,Japan,1065.353,648.169,513.435,468.483
India,Korea,523.18,470.004,382.623,468.225
India,Netherlands,503.731,447.458,483.76,335.752
India,Portugal,,,,
India,Spain,77.377,68.645,83.774,89.815
India,Sweden,16.068,19.572,16.873,19.07
India,Switzerland,79.388,72.38,102.305,187.607
India,Türkiye,20.309,22.003,12.207,16.364
India,United Kingdom,6274.65,5964.27,5483.471,6821.34
India,United States,22272.378,19753.933,13818.949,12094.284
Ireland,Australia,913.862,870.648,886.02,918.093
Ireland,Austria,189.37,152.367,129.057,119.349
Ireland,Belgium,1571.548,1400.204,1317.765,1242.347
Ireland,Canada,2114.52,1871.643,1846.561,1770.149
Ireland,Chile,0.002,0.029,0.056,0.053
Ireland,Finland,504.942,433.015,475.175,404.019
Ireland,France,6767.655,6491.09,6723.427,6155.269
Ireland,Germany,1743.437,1740.578,1524.859,1406.178
Ireland,Greece,8.096,8.159,8.33,8.523
Ireland,India,16.228,15.966,14.844,15.532
Ireland,Ireland,186417.235,175161.337,157913.644,150249.877
Ireland,Italy,539.389,531.391,482.657,616.892
Ireland,Japan,15.138,8.711,5.998,34.289
Ireland,Korea,0.481,0.025,0.027,0.025
Ireland,Netherlands,2099.121,1993.254,1914.799,1906.823
Ireland,Portugal,1329.092,1192.897,1142.935,790.697
Ireland,Spain,3921.272,3913.809,3914.141,3628.262
Ireland,Sweden,1578.086,1510.746,1570.117,1550.397
Ireland,Switzerland,348.154,402.519,324.651,372.522
Ireland,Türkiye,24.169,14.938,14.958,27.159
