"origin","destination","in 1990","in 1995","in 2000","in 2005","in 2010","in 2015","in 2020","in 2024"
"Denmark","Finland",559,577,595,745,832,923,1122,1321
"Estonia","Finland",5711,3285,6569,16258,21761,41006,47280,55655
"Iceland","Finland",79,90,101,129,144,152,179,211
"Ireland","Finland",88,128,168,309,406,553,668,786
"Latvia","Finland",247,117,234,662,879,1582,2436,2868
"Lithuania","Finland",0,68,135,388,504,968,1366,1608
"Norway","Finland",904,853,802,1189,1473,1607,1852,2180
"Sweden","Finland",26043,24814,23584,27840,30966,30578,33412,39331
"United Kingdom","Finland",1738,2018,2297,3504,4367,5328,6460,7604
"Albania","Finland",0,17,34,114,174,336,706,831
"Andorra","Finland",1,1,1,2,2,1,2,2
"Bosnia and Herzegovina","Finland",113,100,200,404,557,652,811,955
"Croatia","Finland",0,52,104,139,159,213,293,345
"Greece","Finland",320,357,394,560,658,1110,1674,1971
"Italy","Finland",504,655,806,1331,1700,2316,3023,3558
"Malta","Finland",8,13,18,25,31,39,53,62
"Montenegro","Finland",0,0,0,2,2,4,15,18
"North Macedonia","Finland",27,44,60,85,93,157,212,250
"Portugal","Finland",92,106,119,245,333,521,598,704
"San Marino","Finland",0,0,0,0,0,1,0,0
"Serbia","Finland",89,140,192,1296,69,149,252,297
"Slovenia","Finland",0,2,4,16,26,50,102,120
"Spain","Finland",502,579,655,1183,1544,2567,3046,3586
"Austria","Finland",253,258,262,397,496,567,660,777
"Belgium","Finland",114,144,173,321,419,567,690,812
"France","Finland",538,727,916,1461,1850,2268,2684,3159
"Germany","Finland",2586,2800,3013,4573,5770,6224,6834,8045
"Luxembourg","Finland",19,23,27,53,70,92,105,124
"Monaco","Finland",1,2,2,3,3,7,9,11
"Netherlands","Finland",414,515,615,967,1237,1381,1653,1946
"Switzerland","Finland",434,476,517,731,878,977,1148,1351
"Antigua and Barbuda","Finland",0,0,0,0,1,1,1,1
"Aruba","Finland",0,0,0,0,0,3,0,0
"Bahamas, The","Finland",1,2,3,6,9,8,6,7
"Barbados","Finland",4,6,7,10,11,10,12,14
"Cuba","Finland",22,74,125,241,321,445,551,649
"Dominica","Finland",0,1,1,2,3,5,7,8
"Dominican Republic","Finland",10,22,34,81,112,157,205,241
"Grenada","Finland",0,0,0,0,1,1,1,1
"Haiti","Finland",0,1,1,7,12,10,11,13
"Jamaica","Finland",21,25,29,44,54,75,86,101
"St. Kitts and Nevis","Finland",0,1,1,1,1,1,0,0
"St. Lucia","Finland",0,1,1,2,3,4,3,4
"St. Vincent and the Grenadines","Finland",1,2,2,3,2,2,1,1
"Trinidad and Tobago","Finland",7,10,13,20,26,35,44,52
"Turks and Caicos Islands","Finland",0,0,0,0,0,1,0,0
"Belize","Finland",0,1,2,2,2,1,0,0
"Costa Rica","Finland",10,16,21,38,45,61,73,86
"El Salvador","Finland",4,11,17,34,42,60,74,87
"Guatemala","Finland",16,21,25,46,59,71,85,100
"Honduras","Finland",5,10,14,27,39,59,92,108
"Mexico","Finland",67,98,129,334,471,719,995,1171
"Nicaragua","Finland",5,23,41,66,83,99,118,139
"Panama","Finland",10,11,12,17,20,23,29,34
"Argentina","Finland",107,120,132,217,267,369,460,541
"Bolivia","Finland",24,34,44,89,124,138,166,195
"Brazil","Finland",162,203,243,631,904,1221,1889,2224
"Chile","Finland",166,175,183,282,342,408,542,638
"Colombia","Finland",132,242,352,619,816,985,1228,1446
"Ecuador","Finland",24,35,45,103,133,180,225,265
"Guyana","Finland",8,8,8,14,14,19,16,19
"Paraguay","Finland",7,7,6,10,12,24,28,33
"Peru","Finland",88,125,161,291,383,471,613,722
"Suriname","Finland",0,2,3,3,2,1,1,1
"Uruguay","Finland",34,39,43,64,75,99,126,148
"Venezuela, RB","Finland",34,41,47,90,108,201,290,341
"Bermuda","Finland",0,0,0,0,0,4,0,0
"Canada","Finland",960,977,993,1249,1445,1481,1655,1948
"United States","Finland",2545,2494,2442,3335,3907,4427,5445,6410
"Australia","Finland",452,502,552,774,916,1035,1245,1466
"New Zealand","Finland",36,54,72,129,174,198,254,299
"Fiji","Finland",5,6,6,7,7,9,9,11
"Papua New Guinea","Finland",1,2,3,6,7,10,11,13
"Solomon Islands","Finland",0,0,0,2,4,5,2,2
"Vanuatu","Finland",0,0,0,1,1,1,0,0
"Palau","Finland",0,0,0,0,1,0,0,0
"French Polynesia","Finland",0,0,0,0,0,1,0,0
"Samoa","Finland",1,1,0,2,3,3,2,2
"Tonga","Finland",0,1,1,1,1,2,0,0
"Tuvalu","Finland",0,0,0,1,2,2,0,0
"Djibouti","Iceland",0,0,0,1,1,0,0,0
"Eritrea","Iceland",0,1,1,2,3,7,9,14
"Ethiopia","Iceland",13,22,31,47,62,71,88,133
"Kenya","Iceland",10,17,23,38,52,90,103,156
"Madagascar","Iceland",0,1,1,2,2,2,2,3
"Malawi","Iceland",0,1,1,2,3,4,1,2
"Mauritius","Iceland",3,5,7,7,7,5,6,9
"Mozambique","Iceland",4,6,7,11,14,23,30,45
"Rwanda","Iceland",0,1,1,1,1,2,0,0
"Somalia, Fed. Rep.","Iceland",0,1,1,1,1,2,32,48
"Uganda","Iceland",3,5,6,14,22,37,60,91
"Tanzania","Iceland",9,10,10,16,21,28,24,36
"Zambia","Iceland",2,3,4,6,7,8,12,18
"Zimbabwe","Iceland",4,6,8,9,10,11,13,20
"Angola","Iceland",10,15,19,30,39,34,50,76
"Cameroon","Iceland",1,2,2,3,4,7,5,8
"Chad","Iceland",0,0,0,0,0,0,1,2
"Congo, Rep.","Iceland",0,0,0,0,1,3,1,2
"Congo, Dem. Rep.","Iceland",1,2,2,2,2,2,2,3
"Equatorial Guinea","Iceland",1,1,1,2,3,9,24,36
"Gabon","Iceland",0,0,0,0,1,0,0,0
"Algeria","Iceland",10,17,23,24,24,40,68,103
"Egypt, Arab Rep.","Iceland",8,12,15,22,27,29,45,68
"Libya","Iceland",0,0,0,1,2,4,7,11
"Morocco","Iceland",21,53,84,120,152,166,262,396
"Sudan","Iceland",0,0,0,0,0,0,6,9
"Tunisia","Iceland",6,9,12,14,16,28,41,62
"Namibia","Iceland",10,15,19,28,36,35,43,65
"South Africa","Iceland",65,64,63,65,66,81,104,157
"Benin","Iceland",0,0,0,0,0,1,1,2
"Burkina Faso","Iceland",0,0,0,1,1,1,0,0
"Cabo Verde","Iceland",19,28,37,40,41,33,54,82
"Cote d'Ivoire","Iceland",0,1,1,2,3,1,7,11
"Gambia, The","Iceland",2,4,5,6,7,11,19,29
"Ghana","Iceland",10,15,19,32,44,62,133,201
"Guinea","Iceland",3,5,7,11,14,18,23,35
"Guinea-Bissau","Iceland",0,0,0,0,1,1,2,3
"Liberia","Iceland",0,0,0,0,0,1,6,9
"Mali","Iceland",0,0,0,1,1,2,4,6
"Mauritania","Iceland",0,0,0,0,1,1,2,3
"Nigeria","Iceland",3,18,33,46,58,72,155,234
"Senegal","Iceland",3,5,6,10,14,21,29,44
"Sierra Leone","Iceland",5,8,10,12,13,15,19,29
"Togo","Iceland",0,1,1,2,2,5,11,17
"Kazakhstan","Iceland",0,1,1,8,15,21,35,53
"Kyrgyz Republic","Iceland",0,1,1,1,1,1,6,9
"Tajikistan","Iceland",97,50,3,4,4,2,2,3
"Turkmenistan","Iceland",0,0,0,1,1,1,1,2
"Uzbekistan","Iceland",2,2,2,4,5,10,13,20
"China","Iceland",58,118,177,335,483,582,747,1128
"Korea, Dem. People's Rep.","Iceland",0,0,0,0,2,0,0,0
"Japan","Iceland",17,31,44,66,86,98,118,178
"Mongolia","Iceland",5,8,10,18,25,20,21,32
"Korea, Rep.","Iceland",27,29,31,16,35,37,49,74
"Afghanistan","Iceland",1,1,1,4,6,13,108,163
"Bangladesh","Iceland",0,0,0,0,0,4,12,18
"India","Iceland",62,105,148,213,272,305,389,588
"Iran, Islamic Rep.","Iceland",14,16,18,27,35,63,166,251
"Nepal","Iceland",8,12,15,56,94,98,129,195
"Pakistan","Iceland",8,10,12,20,26,38,94,142
"Sri Lanka","Iceland",83,93,102,134,162,164,190,287
"Cambodia","Iceland",1,2,2,3,4,1,1,2
"Indonesia","Iceland",59,67,75,93,108,129,158,239
"Lao PDR","Iceland",0,0,0,0,0,1,0,0
"Malaysia","Iceland",5,7,9,19,28,35,48,73
"Myanmar","Iceland",0,0,0,0,1,1,4,6
"Philippines","Iceland",135,405,675,1056,1407,1565,2284,3449
"Singapore","Iceland",6,9,11,13,14,17,21,32
"Thailand","Iceland",83,322,560,822,1062,1196,1500,2265
"Timor-Leste","Iceland",0,0,0,0,0,1,0,0
"Viet Nam","Iceland",76,148,220,355,480,613,916,1384
"Armenia","Iceland",2,2,2,4,5,8,10,15
"Azerbaijan","Iceland",2,3,3,5,7,13,19,29
"Bahrain","Iceland",0,1,1,1,1,1,0,0
"Cyprus","Iceland",1,2,3,4,5,5,11,17
"Georgia","Iceland",2,3,4,12,20,22,52,79
"Iraq","Iceland",2,9,15,32,48,57,236,356
"Israel","Iceland",20,20,19,26,31,37,45,68
"Jordan","Iceland",0,6,12,12,12,13,27,41
"Kuwait","Iceland",0,1,1,2,2,2,3,5
"Lebanon","Iceland",14,17,19,25,30,30,50,76
"Oman","Iceland",0,0,0,0,0,2,2,3
"Qatar","Iceland",1,2,2,2,2,2,3,5
"Saudi Arabia","Iceland",1,2,2,3,3,8,18,27
"Syrian Arab Republic","Iceland",8,11,14,17,19,35,280,423
"Turkiye","Iceland",18,27,35,49,61,73,104,157
"United Arab Emirates","Iceland",0,1,1,2,2,6,11,17
"Yemen, Rep.","Iceland",0,0,0,1,1,0,1,2
"Belarus","Iceland",0,1,1,21,40,41,68,103
"Bulgaria","Iceland",18,46,74,106,135,241,515,778
"Czechia","Iceland",43,64,85,122,156,246,810,1223
"Hungary","Iceland",35,49,63,110,154,218,505,763
"Poland","Iceland",265,878,1491,5895,10091,10967,21102,31868
"Moldova","Iceland",0,1,1,7,13,21,113,171
"Romania","Iceland",1,34,66,137,203,400,1675,2529
"Russian Federation","Iceland",37,273,508,406,298,364,492,743
"Slovak Republic","Iceland",1,2,3,120,231,243,517,781
"Ukraine","Iceland",11,17,22,118,210,274,437,660
"Denmark","Iceland",2048,2175,2302,2637,2912,3283,3918,5917
"Estonia","Iceland",0,11,21,81,137,129,178,269
"Faroe Islands","Iceland",237,273,308,320,324,331,327,494
"Finland","Iceland",75,97,119,153,182,178,236,356
"Ireland","Iceland",81,68,54,68,80,105,150,227
"Latvia","Iceland",0,10,19,339,645,735,1922,2902
"Lithuania","Iceland",0,16,32,753,1444,1499,3171,4789
"Norway","Iceland",683,760,836,921,985,1036,1390,2098
"Sweden","Iceland",1012,1280,1547,1716,1847,1920,2357,3559
"United Kingdom","Iceland",647,684,721,918,1093,1307,1857,2804
"Albania","Iceland",10,15,20,30,39,45,220,332
"Andorra","Iceland",0,0,0,0,0,2,2,3
"Bosnia and Herzegovina","Iceland",9,14,18,83,144,150,273,412
"Croatia","Iceland",6,9,11,81,148,169,716,1081
"Gibraltar","Iceland",0,0,0,0,1,0,0,0
"Greece","Iceland",5,8,10,18,25,45,181,273
"Italy","Iceland",38,73,107,165,218,260,525,793
"Malta","Iceland",0,1,1,3,4,8,9,14
"Montenegro","Iceland",0,0,0,0,3,8,12,18
"North Macedonia","Iceland",7,9,10,21,31,40,84,127
"Portugal","Iceland",45,71,97,358,607,576,1082,1634
"San Marino","Iceland",0,0,0,0,0,0,2,3
"Serbia","Iceland",312,463,614,466,389,523,752,1136
"Slovenia","Iceland",8,10,11,21,29,32,70,106
"Spain","Iceland",105,130,154,224,288,540,991,1497
"Austria","Iceland",52,62,72,109,143,126,163,246
"Belgium","Iceland",34,56,77,92,104,120,206,311
"France","Iceland",135,196,257,355,444,538,910,1374
"Germany","Iceland",803,922,1040,1387,1699,1649,2148,3243
"Liechtenstein","Iceland",0,0,0,0,0,1,0,0
"Luxembourg","Iceland",53,64,75,94,110,142,180,272
"Monaco","Iceland",0,1,1,1,1,1,0,0
"Netherlands","Iceland",112,133,153,228,297,288,408,616
"Switzerland","Iceland",53,63,73,111,145,158,226,341
"Antigua and Barbuda","Iceland",0,0,0,0,0,1,0,0
"Aruba","Iceland",0,0,0,1,1,1,0,0
"Bahamas, The","Iceland",1,1,1,3,4,6,5,8
"Barbados","Iceland",0,1,1,2,2,1,0,0
"Cuba","Iceland",7,11,14,25,35,57,64,97
"Curacao","Iceland",0,0,0,0,0,1,0,0
"Dominica","Iceland",0,1,1,2,2,2,2,3
"Dominican Republic","Iceland",2,4,5,13,21,32,58,88
"Haiti","Iceland",1,1,1,4,7,12,13,20
"Jamaica","Iceland",5,7,9,13,17,18,21,32
"Puerto Rico (US)","Iceland",0,1,1,1,0,0,0,0
"St. Vincent and the Grenadines","Iceland",0,0,0,0,0,2,0,0
"Trinidad and Tobago","Iceland",1,2,3,3,3,3,6,9
"Belize","Iceland",0,1,1,2,2,0,0,0
"Costa Rica","Iceland",3,5,6,6,5,7,18,27
"El Salvador","Iceland",0,1,1,6,11,13,27,41
"Guatemala","Iceland",14,21,27,30,32,37,36,54
"Honduras","Iceland",7,11,14,24,32,35,60,91
"Mexico","Iceland",10,24,38,54,68,92,159,240
"Nicaragua","Iceland",1,2,3,4,5,7,6,9
"Panama","Iceland",1,2,2,4,6,6,7,11
"Argentina","Iceland",5,9,13,20,26,46,83,125
"Bolivia","Iceland",6,9,11,12,12,14,15,23
"Brazil","Iceland",11,20,28,67,104,139,217,328
"Chile","Iceland",15,34,52,68,81,77,87,131
"Colombia","Iceland",21,42,62,110,154,189,257,388
"Ecuador","Iceland",7,10,13,20,25,32,55,83
"Guyana","Iceland",7,10,13,17,20,20,23,35
"Paraguay","Iceland",1,2,2,3,3,4,2,3
"Peru","Iceland",20,30,39,56,72,75,105,159
"Uruguay","Iceland",3,5,6,7,8,9,11,17
"Venezuela, RB","Iceland",6,9,12,25,36,39,103,156
"Bermuda","Iceland",1,2,2,2,1,3,2,3
"Canada","Iceland",145,170,195,216,231,277,366,553
"Greenland","Iceland",35,38,40,53,64,65,82,124
"United States","Iceland",1077,1190,1392,1606,1851,2019,2604,3932
"Australia","Iceland",60,61,61,75,86,121,172,260
"New Zealand","Iceland",86,62,37,43,48,50,78,118
"Fiji","Iceland",0,0,0,1,2,1,0,0
"Papua New Guinea","Iceland",0,1,1,1,0,1,1,2
"Solomon Islands","Iceland",0,0,0,1,1,1,0,0
"Tonga","Iceland",0,1,1,1,1,1,1,2
"South Africa","Ireland",2904,3190,6468,7871,8116,8088,13073,18857
"Nigeria","Ireland",3605,4081,8532,15083,19362,16995,19296,22078
"China","Ireland",1668,2188,5321,10307,11474,11276,14712,18391
"India","Ireland",738,1104,3069,8174,16348,20363,42645,70228
"Pakistan","Ireland",708,1059,2942,5353,7888,12019,14470,16059
"Philippines","Ireland",1171,1603,4076,8706,13192,14560,18185,21796
"Hungary","Ireland",101,151,420,2538,6672,8443,8638,8628
"Poland","Ireland",489,732,2034,40888,107993,115223,108755,102708
"Moldova","Ireland",219,328,910,2020,3214,5808,12433,19842
"Romania","Ireland",1241,1856,5161,8101,16105,26573,37878,47700
"Russian Federation","Ireland",1070,1275,2812,4460,5759,6328,7431,8466
"Slovak Republic","Ireland",75,111,310,5289,10467,9626,9510,9573
"Ukraine","Ireland",375,550,1503,3171,4039,4527,11086,125016
"Latvia","Ireland",575,860,2393,11143,19183,19130,19924,20840
"Lithuania","Ireland",485,725,2017,17230,33447,33565,33974,34584
"United Kingdom","Ireland",174509,187615,239615,282759,288432,278827,285496,293559
"Croatia","Ireland",128,191,531,925,983,3971,9858,15615
"Italy","Ireland",1473,1779,3751,6954,7186,10176,14112,17508
"Portugal","Ireland",143,183,482,1426,2141,3535,5271,6795
"Spain","Ireland",1680,2046,4525,7281,7067,10833,16145,20849
"France","Ireland",4190,3709,6898,11605,10337,11591,13904,15924
"Germany","Ireland",5465,6241,9769,14049,13197,12962,14226,15484
"Brazil","Ireland",264,395,1098,3883,8431,14425,30415,48605
"Canada","Ireland",2760,2631,4633,5290,4885,5222,6537,7811
"United States","Ireland",14625,15417,23490,31600,28327,28482,32488,36363
"Australia","Ireland",4510,4329,7675,7978,6205,6602,8883,11165
"South Africa","Isle of Man",303,345,387,485,577,807,821,833
"Channel Islands","Isle of Man",182,195,208,232,253,170,172,175
"Ireland","Isle of Man",1628,1700,1771,1955,2116,1540,1567,1591
"United Kingdom","Isle of Man",30510,32475,34442,36200,37521,33553,34195,34715
"Canada","Isle of Man",104,119,133,167,198,157,158,160
"United States","Isle of Man",242,210,178,223,265,227,230,233
"Australia","Isle of Man",123,140,157,258,356,188,190,193
"New Zealand","Isle of Man",48,55,61,76,91,85,85,86
"Burundi","Latvia",1,1,1,0,0,1,0,0
"Eritrea","Latvia",0,0,0,0,0,0,5,5
"Kenya","Latvia",0,0,0,1,3,3,4,4
"Madagascar","Latvia",1,1,1,0,0,0,0,0
"Malawi","Latvia",1,1,1,0,0,0,0,0
"Mauritius","Latvia",0,0,0,0,0,2,4,4
"Mozambique","Latvia",0,0,0,0,0,1,0,0
"Rwanda","Latvia",1,1,1,0,0,1,1,1
"Somalia, Fed. Rep.","Latvia",0,0,0,2,5,5,3,3
"South Sudan","Latvia",1,1,2,2,2,0,0,0
"Uganda","Latvia",1,1,2,2,2,0,1,1
"Tanzania","Latvia",0,0,0,0,1,2,2,2
"Zambia","Latvia",0,0,0,0,0,1,0,0
"Zimbabwe","Latvia",1,1,2,3,4,3,2,2
"Angola","Latvia",1,1,2,2,2,2,0,0
"Cameroon","Latvia",1,1,1,1,2,1,4,4
"Central African Republic","Latvia",1,1,2,1,1,0,0,0
"Congo, Rep.","Latvia",1,1,2,1,1,0,0,0
"Congo, Dem. Rep.","Latvia",0,0,0,0,0,0,4,4
"Gabon","Latvia",0,0,0,0,0,1,0,0
"Algeria","Latvia",6,9,12,14,17,15,18,17
"Egypt, Arab Rep.","Latvia",5,8,11,26,42,37,80,74
"Libya","Latvia",2,2,3,4,6,3,4,4
"Morocco","Latvia",3,4,5,8,11,12,24,22
"Sudan","Latvia",1,1,2,1,1,3,5,5
"Tunisia","Latvia",0,0,0,1,2,2,4,4
"Botswana","Latvia",0,0,0,0,0,1,0,0
"Namibia","Latvia",0,0,0,0,0,1,0,0
"South Africa","Latvia",2,2,3,8,13,13,23,21
"Benin","Latvia",0,0,0,0,0,2,1,1
"Cabo Verde","Latvia",1,1,1,1,1,0,0,0
"Cote d'Ivoire","Latvia",1,1,2,2,2,3,1,1
"Gambia, The","Latvia",0,0,0,0,0,0,1,1
"Ghana","Latvia",0,0,0,0,0,5,7,6
"Mali","Latvia",2,2,3,2,1,2,0,0
"Mauritania","Latvia",0,0,0,0,0,1,0,0
"Nigeria","Latvia",4,6,8,10,12,13,22,20
"Sierra Leone","Latvia",2,2,3,2,1,1,0,0
"Togo","Latvia",1,1,1,0,0,0,0,0
"Kazakhstan","Latvia",528,4627,8726,7993,7058,5931,5651,5204
"Kyrgyz Republic","Latvia",593,913,1233,1124,987,809,757,697
"Tajikistan","Latvia",47,434,821,754,669,536,565,520
"Turkmenistan","Latvia",23,475,928,831,714,589,552,508
"Uzbekistan","Latvia",309,1614,2919,2641,2296,2052,2569,2366
"China","Latvia",24,175,326,281,230,268,369,340
"Korea, Dem. People's Rep.","Latvia",204,109,14,14,14,11,10,9
"Japan","Latvia",4,6,9,12,15,16,27,25
"Mongolia","Latvia",87,133,180,155,128,109,103,95
"Korea, Rep.","Latvia",9,13,18,27,37,30,33,30
"Afghanistan","Latvia",20,22,24,24,25,27,46,42
"Bangladesh","Latvia",3,4,5,6,8,5,15,14
"India","Latvia",35,54,74,89,102,131,1290,1188
"Iran, Islamic Rep.","Latvia",15,22,30,34,38,35,46,42
"Nepal","Latvia",1,1,2,8,14,16,45,41
"Pakistan","Latvia",16,25,34,34,35,24,228,210
"Sri Lanka","Latvia",31,21,12,26,40,28,173,159
"Indonesia","Latvia",2,2,3,3,3,3,3,3
"Malaysia","Latvia",7,10,14,9,4,7,8,7
"Philippines","Latvia",1,1,2,3,5,108,99,91
"Singapore","Latvia",2,2,3,4,5,4,1,1
"Thailand","Latvia",1,1,2,7,13,8,29,27
"Viet Nam","Latvia",3,5,7,8,10,7,83,76
"Armenia","Latvia",1552,1312,1073,1010,922,693,708,652
"Azerbaijan","Latvia",1399,2254,3109,2806,2433,1922,1953,1798
"Bahrain","Latvia",0,0,0,0,0,1,0,0
"Cyprus","Latvia",2,2,3,12,22,44,59,54
"Georgia","Latvia",697,1368,2039,1850,1614,1317,1285,1183
"Iraq","Latvia",3,4,5,8,11,33,52,48
"Israel","Latvia",21,32,43,81,117,78,108,99
"Jordan","Latvia",3,5,7,7,7,4,4,4
"Kuwait","Latvia",1,1,2,2,3,3,5,5
"Lebanon","Latvia",45,42,40,44,48,29,39,36
"Qatar","Latvia",0,0,0,0,0,1,5,5
"Saudi Arabia","Latvia",0,0,0,1,2,5,13,12
"Syrian Arab Republic","Latvia",5,7,10,15,20,22,63,58
"Turkiye","Latvia",12,18,25,66,106,108,229,211
"United Arab Emirates","Latvia",1,1,2,5,9,12,33,30
"Yemen, Rep.","Latvia",1,1,1,0,0,1,0,0
"Belarus","Latvia",60530,69060,77583,67044,54799,48588,42251,38908
"Bulgaria","Latvia",390,220,50,297,538,157,112,103
"Czechia","Latvia",48,112,176,215,249,137,159,146
"Hungary","Latvia",293,289,285,267,244,193,183,169
"Poland","Latvia",30550,16038,1526,1397,1233,832,767,706
"Moldova","Latvia",1629,2027,2426,2261,2039,1705,1707,1572
"Romania","Latvia",3562,1815,69,191,310,68,71,65
"Russian Federation","Latvia",473207,354000,234753,201748,163606,136376,116771,107529
"Slovak Republic","Latvia",21,19,17,36,56,22,36,33
"Ukraine","Latvia",46572,49867,53157,47145,39933,34080,32262,29708
"Denmark","Latvia",35,93,151,222,288,203,238,219
"Estonia","Latvia",1675,2872,4069,3803,3442,3081,2847,2622
"Faroe Islands","Latvia",0,0,0,0,0,2,1,1
"Finland","Latvia",1199,684,170,226,277,170,151,139
"Iceland","Latvia",4,6,9,24,40,29,53,49
"Ireland","Latvia",14,21,28,399,761,731,936,862
"Lithuania","Latvia",17512,22699,27884,24365,20226,16668,14209,13084
"Norway","Latvia",22,37,52,123,192,325,443,408
"Sweden","Latvia",128,167,206,331,449,324,272,250
"United Kingdom","Latvia",117,167,218,803,1369,2218,3712,3418
"Albania","Latvia",4,6,8,7,7,9,12,11
"Andorra","Latvia",0,0,0,0,1,0,0,0
"Bosnia and Herzegovina","Latvia",2,2,3,4,6,7,9,8
"Croatia","Latvia",4,6,8,7,6,7,8,7
"Greece","Latvia",326,169,12,23,34,42,51,47
"Italy","Latvia",16,36,57,189,317,249,328,302
"Malta","Latvia",2,2,3,6,10,6,23,21
"Montenegro","Latvia",0,0,0,0,0,0,1,1
"North Macedonia","Latvia",0,0,0,0,0,12,17,16
"Portugal","Latvia",1,1,2,27,52,48,42,39
"Serbia","Latvia",17,8,0,3,6,10,22,20
"Slovenia","Latvia",2,3,4,7,11,6,12,11
"Spain","Latvia",18,17,17,107,196,148,220,203
"Austria","Latvia",50,77,104,124,142,90,101,93
"Belgium","Latvia",14,21,28,72,116,111,123,113
"France","Latvia",26,77,128,232,331,181,279,257
"Germany","Latvia",1913,3084,4256,3723,3097,2424,2163,1992
"Liechtenstein","Latvia",0,0,0,0,0,1,0,0
"Luxembourg","Latvia",1,1,1,7,13,7,10,9
"Monaco","Latvia",0,0,0,0,0,1,0,0
"Netherlands","Latvia",16,29,42,89,134,135,161,148
"Switzerland","Latvia",11,17,24,58,91,56,97,89
"Antigua and Barbuda","Latvia",0,0,0,0,0,1,0,0
"Aruba","Latvia",1,1,1,0,0,1,0,0
"Barbados","Latvia",2,2,3,1,0,2,2,2
"Cuba","Latvia",21,45,70,64,57,46,46,42
"Dominican Republic","Latvia",0,0,0,0,1,1,0,0
"Jamaica","Latvia",0,0,0,0,1,1,2,2
"Trinidad and Tobago","Latvia",0,0,0,1,2,1,0,0
"Costa Rica","Latvia",0,0,0,0,1,2,0,0
"Guatemala","Latvia",0,0,0,0,0,1,1,1
"Mexico","Latvia",6,9,12,28,45,13,26,24
"Nicaragua","Latvia",1,1,1,0,0,0,0,0
"Argentina","Latvia",9,14,20,21,22,12,22,20
"Bolivia","Latvia",0,0,0,0,0,0,1,1
"Brazil","Latvia",8,12,17,27,37,21,46,42
"Chile","Latvia",1,1,2,3,5,5,7,6
"Colombia","Latvia",2,3,4,7,10,6,13,12
"Ecuador","Latvia",0,0,0,0,0,2,3,3
"Paraguay","Latvia",1,1,2,1,1,3,0,0
"Peru","Latvia",3,5,7,7,8,7,9,8
"Uruguay","Latvia",3,4,5,3,2,3,3,3
"Venezuela, RB","Latvia",6,9,12,23,35,22,34,31
"Canada","Latvia",42,64,87,119,148,120,177,163
"Greenland","Latvia",0,0,0,0,1,1,0,0
"United States","Latvia",167,323,479,603,712,426,543,500
"Australia","Latvia",45,69,93,131,166,83,111,102
"New Zealand","Latvia",5,8,11,12,14,5,13,12
"Palau","Latvia",1,1,1,0,0,0,0,0
"Eritrea","Lithuania",12,9,7,6,5,5,30,32
"Ethiopia","Lithuania",1,0,0,0,0,1,2,2
"Kenya","Lithuania",4,3,2,2,1,5,8,8
"Madagascar","Lithuania",2,1,1,1,1,2,6,6
"Malawi","Lithuania",0,0,0,0,0,1,0,0
"Mauritius","Lithuania",1,1,1,1,0,3,2,2
"Mozambique","Lithuania",0,0,0,0,0,0,1,1
"Rwanda","Lithuania",0,0,0,0,0,2,1,1
"Somalia, Fed. Rep.","Lithuania",1,0,0,0,0,2,1,1
"Uganda","Lithuania",0,0,0,0,0,1,0,0
"Tanzania","Lithuania",0,0,0,0,0,3,1,1
"Zambia","Lithuania",0,0,0,0,0,1,0,0
"Zimbabwe","Lithuania",1,1,0,0,0,1,5,5
"Angola","Lithuania",1,0,0,0,0,1,2,2
"Cameroon","Lithuania",13,10,8,7,5,7,30,32
"Congo, Rep.","Lithuania",3,3,1,1,1,5,6,6
"Congo, Dem. Rep.","Lithuania",2,0,0,0,0,3,3,3
"Algeria","Lithuania",6,4,4,3,3,8,11,12
"Egypt, Arab Rep.","Lithuania",3,4,3,31,56,54,86,91
"Libya","Lithuania",3,2,2,2,1,5,5,5
"Morocco","Lithuania",5,4,3,3,1,3,14,15
"Sudan","Lithuania",1,0,0,0,0,2,2,2
"Tunisia","Lithuania",6,5,4,3,3,12,8,8
"Namibia","Lithuania",1,0,0,0,0,3,1,1
"South Africa","Lithuania",12,9,7,6,5,8,25,26
"Benin","Lithuania",0,0,0,0,0,1,0,0
"Cote d'Ivoire","Lithuania",0,0,0,0,0,0,1,1
"Gambia, The","Lithuania",0,0,0,0,0,1,0,0
"Ghana","Lithuania",4,3,2,2,1,4,8,8
"Guinea","Lithuania",1,0,0,0,0,2,1,1
"Liberia","Lithuania",3,2,2,2,1,6,5,5
"Mali","Lithuania",1,0,0,0,0,2,1,1
"Mauritania","Lithuania",0,0,0,0,0,1,0,0
"Nigeria","Lithuania",5,5,3,16,28,15,5,5
"Togo","Lithuania",0,0,0,0,0,1,0,0
"Kazakhstan","Lithuania",13109,8354,6544,6388,5366,4477,4248,4475
"Kyrgyz Republic","Lithuania",1006,774,606,569,455,380,347,366
"Tajikistan","Lithuania",1481,659,516,487,392,338,361,380
"Turkmenistan","Lithuania",3341,479,375,356,289,236,207,218
"Uzbekistan","Lithuania",4197,2077,1626,1480,1133,945,809,852
"China","Lithuania",157,175,137,105,60,53,191,201
"Korea, Dem. People's Rep.","Lithuania",4,2,2,2,1,7,6,6
"Japan","Lithuania",14,15,11,20,28,26,23,24
"Mongolia","Lithuania",79,88,68,76,75,62,53,56
"Korea, Rep.","Lithuania",4,3,2,2,2,0,13,14
