"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD","ProductDescription","Quantity","NetWeight in KGM"
"H4","HRV","0207","Croatia","AUT","Austria",2018,"Export",6,4309.6,"Meat and edible offal, of the poult",1081815.59,1081816
"H4","HRV","0207","Croatia","AUT","Austria",2018,"Import",5,167.359,"Meat and edible offal, of the poult",39849.08,39849
"H4","HRV","0207","Croatia","BEL","Belgium",2018,"Import",5,71.121,"Meat and edible offal, of the poult",121200.21,121200
"H4","HRV","0207","Croatia","BGR","Bulgaria",2018,"Export",6,82.585,"Meat and edible offal, of the poult",20010.8,20011
"H4","HRV","0207","Croatia","BGR","Bulgaria",2018,"Import",5,42.486,"Meat and edible offal, of the poult",42055.5,42056
"H4","HRV","0207","Croatia","DEU","Germany",2018,"Import",5,698.077,"Meat and edible offal, of the poult",498349.56,498350
"H4","HRV","0207","Croatia","DNK","Denmark",2018,"Export",6,2.124,"Meat and edible offal, of the poult",670,670
"H4","HRV","0207","Croatia","DNK","Denmark",2018,"Import",5,869.547,"Meat and edible offal, of the poult",235152,235152
"H4","HRV","0207","Croatia","ESP","Spain",2018,"Import",5,188.921,"Meat and edible offal, of the poult",57548.6,57549
"H4","HRV","0207","Croatia","FRA","France",2018,"Export",6,2.15,"Meat and edible offal, of the poult",987.7,988
"H4","HRV","0207","Croatia","FRA","France",2018,"Import",5,221.031,"Meat and edible offal, of the poult",174973.61,174974
"H4","HRV","0207","Croatia","HUN","Hungary",2018,"Export",6,68.921,"Meat and edible offal, of the poult",137919.05,137919
"H4","HRV","0207","Croatia","HUN","Hungary",2018,"Import",5,14752.194,"Meat and edible offal, of the poult",4347748.35,4347748
"H4","HRV","0207","Croatia","ITA","Italy",2018,"Export",6,75.902,"Meat and edible offal, of the poult",138017.1,138017
"H4","HRV","0207","Croatia","ITA","Italy",2018,"Import",5,2475.822,"Meat and edible offal, of the poult",1056712.92,1056713
"H4","HRV","0207","Croatia","LTU","Lithuania",2018,"Import",5,121.366,"Meat and edible offal, of the poult",35920,35920
"H4","HRV","0207","Croatia","NLD","Netherlands",2018,"Export",6,94.121,"Meat and edible offal, of the poult",22032.87,22033
"H4","HRV","0207","Croatia","NLD","Netherlands",2018,"Import",5,18877.853,"Meat and edible offal, of the poult",4425776.64,4425777
"H4","HRV","0207","Croatia","POL","Poland",2018,"Export",6,141.037,"Meat and edible offal, of the poult",138164.1,138164
"H4","HRV","0207","Croatia","POL","Poland",2018,"Import",5,14375.593,"Meat and edible offal, of the poult",4913907.17,4913907
"H4","HRV","0207","Croatia","ROM","Romania",2018,"Import",5,3582.227,"Meat and edible offal, of the poult",842358,842358
"H4","HRV","0207","Croatia","SVK","Slovak Republic",2018,"Export",6,92.9,"Meat and edible offal, of the poult",20868.77,20869
"H4","HRV","0207","Croatia","SVK","Slovak Republic",2018,"Import",5,1950.385,"Meat and edible offal, of the poult",476118.98,476119
"H4","HRV","0207","Croatia","SVN","Slovenia",2018,"Export",6,7619.288,"Meat and edible offal, of the poult",3424473.8,3424474
"H4","HRV","0207","Croatia","SVN","Slovenia",2018,"Import",5,7468.777,"Meat and edible offal, of the poult",3327042.8,3327043
"H4","HRV","0207","Croatia","SWE","Sweden",2018,"Export",6,23.971,"Meat and edible offal, of the poult",15014.26,15014
"H4","HRV","0207","Croatia","SWE","Sweden",2018,"Import",5,33.285,"Meat and edible offal, of the poult",64342.5,64343
"H4","HRV","1001","Croatia","AUT","Austria",2018,"Export",6,7393.981,"Wheat and meslin.",31085547,31085547
"H4","HRV","1001","Croatia","AUT","Austria",2018,"Import",5,86.452,"Wheat and meslin.",148323,148323
"H4","HRV","1001","Croatia","BGR","Bulgaria",2018,"Export",6,4.182,"Wheat and meslin.",6000,6000
"H4","HRV","1001","Croatia","CZE","Czech Republic",2018,"Export",6,0.001,"Wheat and meslin.",0.05,0
"H4","HRV","1001","Croatia","CZE","Czech Republic",2018,"Import",5,1.705,"Wheat and meslin.",1893,1893
"H4","HRV","1001","Croatia","DEU","Germany",2018,"Export",6,435.818,"Wheat and meslin.",1526293.5,1526294
"H4","HRV","1001","Croatia","DEU","Germany",2018,"Import",5,6.69,"Wheat and meslin.",5439.7,5440
"H4","HRV","1001","Croatia","FRA","France",2018,"Export",6,1130.313,"Wheat and meslin.",6547250,6547250
"H4","HRV","1001","Croatia","FRA","France",2018,"Import",5,57.571,"Wheat and meslin.",89607,89607
"H4","HRV","1001","Croatia","HUN","Hungary",2018,"Export",6,654.793,"Wheat and meslin.",3049538,3049538
"H4","HRV","1001","Croatia","HUN","Hungary",2018,"Import",5,19277.537,"Wheat and meslin.",91023645.26,91023645
"H4","HRV","1001","Croatia","ITA","Italy",2018,"Export",6,70178.944,"Wheat and meslin.",343763938,343763938
"H4","HRV","1001","Croatia","ITA","Italy",2018,"Import",5,88.207,"Wheat and meslin.",238471,238471
"H4","HRV","1001","Croatia","LTU","Lithuania",2018,"Export",6,19.893,"Wheat and meslin.",48000,48000
"H4","HRV","1001","Croatia","NLD","Netherlands",2018,"Export",6,0.932,"Wheat and meslin.",5032.5,5033
