"origin","destination","total_food_value"
"Slovenia","Hungary",2790.694
"Slovenia","Italy",21098.764
"Slovenia","Malta",0.194
"Slovenia","Netherlands",24.077
"Slovenia","Poland",720.954
"Slovenia","Portugal",0.461
"Slovenia","Romania",73.054
"Slovenia","Slovak Republic",660.645
"Slovenia","Spain",149.942
"Slovenia","Sweden",887.193
"Sweden","Austria",69.767
"Sweden","Belgium",22.911
"Sweden","Cyprus",20.607
"Sweden","Denmark",56856.917
"Sweden","Estonia",82.547
"Sweden","Finland",4563.313
"Sweden","France",281.141
"Sweden","Germany",6542.011
"Sweden","Ireland",6.793
"Sweden","Latvia",77.135
"Sweden","Lithuania",203.086
"Sweden","Luxembourg",7.943
"Sweden","Netherlands",2245.449
"Sweden","Poland",1230.829
"Sweden","Portugal",1525.901
"Sweden","Slovak Republic",820.284
"Sweden","Spain",27044.625
